NO_CASES,NO_DEATHS,PREV_RATE,R_ID
-1,-1,32.1,288
-1,-1,15.7,289
-1,-1,38.9,290
223,-1,69.69,291
-1,-1,9,292
-1,-1,33.6,293
-1,-1,38.8,294
-1,-1,32.4,295
-1,-1,24.1,296
-1,-1,30.9,297
55,-1,17.13,298
